company_name,ticker,index,sector,cluster,germany_employees_estimate,confidence
Munich Re,MUV2.DE,DAX,Finance,Corporate Marathoners,28000,low
Nemetschek,NEM.DE,DAX,Technology,Office Athletes,1500,low
Porsche,P911.DE,DAX,Automotive,Mobility Machines,41000,medium
Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,2000,low
Qiagen,QIA.DE,DAX,Healthcare,Precision Engineers,2500,low
Rational,RAA.DE,MDAX,Industrials,Precision Engineers,1600,medium
Rheinmetall,RHM.DE,DAX,Industrials,Heavy Industry,16000,medium
RWE,RWE.DE,DAX,Energy,Grid Operators,11000,medium
SAP,SAP.DE,DAX,Technology,Office Athletes,25000,medium
Sartorius,SRT3.DE,DAX,Healthcare,Precision Engineers,5500,medium
Scout24,G24.DE,DAX,Technology,Digital Hustlers,1200,medium
Siemens Energy,ENR.DE,DAX,Energy,Engineering Giants,27000,medium
Siemens Healthineers,SHL.DE,DAX,Healthcare,Precision Engineers,24000,medium
Siemens,SIE.DE,DAX,Industrials,Engineering Giants,86000,medium
Symrise,SY1.DE,DAX,Consumer,Consumer Lifestyle,3500,low
TeamViewer,TMV.DE,MDAX,Technology,Office Athletes,700,medium
United Internet,UTDI.DE,MDAX,Telecom,Connected Operators,9000,medium
Volkswagen,VOW3.DE,DAX,Automotive,Mobility Machines,293338,high
Vonovia,VNA.DE,DAX,Real Estate,Infrastructure Operators,12000,medium
Wacker Chemie,WCH.DE,MDAX,Chemicals,Factory Endurance,10657,high
Zalando,ZAL.DE,DAX,Consumer,Digital Hustlers,8000,medium
Talanx,TLX.DE,MDAX,Finance,Corporate Marathoners,12000,medium
adesso,ADN1.DE,SDAX,Technology,Office Athletes,10000,medium
DEUTZ,DEZ.DE,SDAX,Industrials,Heavy Industry,4200,medium
Schaeffler,SHA0.DE,MDAX,Automotive,Factory Endurance,39000,medium
TUI,TUI1.DE,MDAX,Consumer,Mobility Machines,9500,low
RTL Group,RRTL.DE,MDAX,Media,Content Machines,8000,low
grenke,GLJ.DE,SDAX,Finance,Corporate Marathoners,1100,low
Villeroy & Boch,VIB3.DE,SDAX,Consumer,Consumer Lifestyle,2000,low
UmweltBank,UBK.DE,Other,Finance,Sustainable Finance,350,medium
Uniper,UN0.DE,SDAX,Energy,Grid Operators,5000,medium
thyssenkrupp,TKA.DE,MDAX,Industrials,Heavy Industry,48000,medium
CANCOM,COK.DE,SDAX,Technology,Office Athletes,4000,medium
Elmos Semiconductor,ELG.DE,SDAX,Technology,Precision Engineers,1400,medium
Borussia Dortmund,BVB.DE,SDAX,Media,Performance Culture,1000,low
CENIT,CSH.DE,Other,Technology,Office Athletes,700,low
Dermapharm,DMP.DE,SDAX,Healthcare,Care Providers,2000,low
OVB Holding,O4B.DE,Other,Finance,Corporate Marathoners,250,low
EnBW,EBK.DE,Other,Energy,Grid Operators,28000,medium
TRATON,8TRA.DE,MDAX,Automotive,Mobility Machines,35000,low
LPKF Laser & Electronics,LPK.DE,SDAX,Technology,Precision Engineers,700,low
CTS Eventim,EVD.DE,MDAX,Media,Content Machines,2500,low
Amadeus Fire,AAD.DE,SDAX,Professional Services,Office Athletes,4200,medium
PSI Software,PSAN.DE,SDAX,Technology,Office Athletes,1700,low
